Nama Dosen;Program Studi;Kepakaran;URL Profil
Redho Surya Perdana, S.T., M.T;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJVnZK%2BXl5dmZX53r5KUZGpsbWNmmIR3g5RpY5iYaWhlloCisQ%3D%3D
Adam Irwansyah Fauzi, S.T., M.T;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJVnZa9pa5ZpZLJyf5dol2SYZmJpabClfpSVaWlmZmlpk4Z5hQ%3D%3D
Ratna Mustika Sari, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJZmaK9llmFiaIKlfsRna2RlmmaTZrKjfJSWa2ZmmZaWY396rw%3D%3D
Rizqi Aulia, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJZoa69tmZKWlIZ2fcJnl2qWmZaWZLNygpdjY5RpaJeXl6%2Bifg%3D%3D
Akbar Wahyu Nugraha, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJdpa69plmZllYJ2fJhqaWhkbWOTa35yrpKXlpWalpZkk32jgg%3D%3D
Een Lujainatul Isnaini, S.T., M.Eng.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJdqYq9lapViZn1yrZJoZmpmmpeSY4SlsMWTk5dkm5VolYVzgw%3D%3D
Muhammad Ulin Nuha, S.T., M.Eng.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJdqY69rmGpmmIB3gJCTZpVlZZKTk4WkgZVpZWqZbJSUY350rg%3D%3D
Rizky Ahmad Yudanegara, S.T., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJdqZK9lmGFnlq%2BjhZSXamdnl5RnloSmf5dmY2Vta2lkZ4Z0gQ%3D%3D
Aulia Try Atmojo, S.Kel., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJdqZ69qmGVjaYZ6fsBnamZkmmWXYrB4f5FqlmiWbGOUZn6ksA%3D%3D
Ilyas, S.Si., M.T.;Teknik Geomatika;Kepakaran Tidak Ditemukan;https://directory.itera.ac.id/researcher/id/gpKIfJdqaK9pbWeWY353f5dmZpdsaJOUlLN2sY9lYmhnZ2pma4J0rQ%3D%3D
